Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Acute Care Hospitals,Government - Hospital District or Authority,True,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,"2505 U S HIGHWAY 431 NORTH
BOAZ, AL"
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,Acute Care Hospitals,Proprietary,True,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"200 MED CENTER DRIVE
FORT PAYNE, AL"
10032,WEDOWEE HOSPITAL,209 NORTH MAIN STREET,WEDOWEE,AL,36278,RANDOLPH,2563572111,Acute Care Hospitals,Government - Hospital District or Authority,True,True,4,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"209 NORTH MAIN STREET
WEDOWEE, AL"
10095,HALE COUNTY HOSPITAL,508 GREEN STREET,GREENSBORO,AL,36744,HALE,3346243024,Acute Care Hospitals,Government - Local,True,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"508 GREEN STREET
GREENSBORO, AL"
10131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,MADISON,2568823100,Acute Care Hospitals,Proprietary,True,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Below the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"ONE HOSPITAL DR SE
HUNTSVILLE, AL"
11304,CHOCTAW GENERAL HOSPITAL,"401 VANITY FAIR LANE, PO BOX 618",BUTLER,AL,36904,CHOCTAW,2054599100,Critical Access Hospitals,Voluntary non-profit - Private,True,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"401 VANITY FAIR LANE, PO BOX 618
BUTLER, AL"
20018,YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,BETHEL,AK,99559,BETHEL,9075436300,Acute Care Hospitals,Tribal,True,True,3,This hospitals star rating only includes data reported on inpatient services,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"PO BOX 287
BETHEL, AK"
21308,NORTON SOUND REGIONAL HOSPITAL,1000 GREG KRUSCHEK AVENUE (P O BOX 966),NOME,AK,99762,NOME,9074433311,Critical Access Hospitals,Tribal,True,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"1000 GREG KRUSCHEK AVENUE (P O BOX 966)
NOME, AK"
21309,KANAKANAK HOSPITAL,P O BOX 130,DILLINGHAM,AK,99576,DILLINGHAM,9078425201,Critical Access Hospitals,Voluntary non-profit - Private,True,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"P O BOX 130
DILLINGHAM, AK"
21310,MANIILAQ HEALTH CENTER,PO BOX 43,KOTZEBUE,AK,99752,NORTHWEST ARCTIC,9074423321,Critical Access Hospitals,Tribal,True,True,3,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Same as the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Same as the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Same as the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Below the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Same as the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Same as the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Same as the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,"PO BOX 43
KOTZEBUE, AK"
